company_name,sector,annual_revenue_cr,annual_csr_budget_cr,current_sport_allocation_pct,sport_focus,geographic_focus,existing_sport_initiatives,csr_alignment_score,athletiq_fit_score,contact_potential,engagement_strategy,notes,source_link
Tata Group,Conglomerate,315000,1450,18,"Athletics,Football,Hockey",Pan-India,"Tata Athletics Academy; GoSports Foundation partnership; grassroots hockey programs in Jharkhand & Odisha",9,9,Hot,"Position AthletIQ as talent-pipeline analytics layer for existing programs","Strong legacy in sport development; open to tech-driven social impact",https://www.tata.com/community/sports
Reliance Industries,Conglomerate,975000,1580,25,"Football,Basketball,Athletics,Olympic sports",Pan-India,"Reliance Foundation Youth Sports (RFYS); Odisha FC; athlete scholarship programs; school sports leagues across 15 states",8,8,Hot,"Propose data-driven scouting add-on for RFYS nationwide school program","Largest CSR spender; deep commitment to sport; RFYS reaches 5M+ students",https://www.reliancefoundation.org/sports
JSW Group,Steel & Infrastructure,178000,410,35,"Wrestling,Athletics,Boxing,Swimming,Judo",Karnataka & Pan-India,"JSW Inspire Institute of Sport (IIS) Bellary; SAI-JSW High Performance Centre; 25+ Olympians supported",10,9,Hot,"Integrate AthletIQ as feeder-identification tool for IIS talent scouting","India's most sport-committed corporate; IIS is world-class facility; actively seeking grassroots pipeline",https://www.jsw.in/sports
Infosys,IT Services,164000,420,5,"Chess,Athletics",Karnataka & Pan-India,"Infosys Foundation grassroots sport grants; chess promotion programs in rural Karnataka",6,7,Warm,"Pitch tech-for-good angle; analytics dashboard for CSR sport portfolio tracking","Strong tech DNA; could fund platform development; Narayana Murthy's interest in education aligns",https://www.infosys.com/infosys-foundation
Wipro,IT Services,90000,230,3,General Sports,Pan-India,"Wipro Foundation community sports programs; limited structured sport CSR",5,6,Warm,"Present AthletIQ as measurable-impact platform for new sport CSR vertical","Azim Premji Foundation focus on education; sport is adjacent opportunity",https://www.wipro.com/corporate-responsibility
Adani Group,Infrastructure & Energy,265000,1100,8,"Cricket,Kabaddi",Gujarat & Pan-India,"Adani Sportsline; Gujarat Titans IPL; U Mumba PKL; cricket academy in Ahmedabad",6,5,Warm,"Propose grassroots talent pipeline beyond cricket into Olympic sports","Heavy cricket/kabaddi focus; opportunity to diversify into Olympic sports for brand building",https://www.adanisportsline.com
Mahindra Group,Automotive & IT,155000,380,12,"Football,Kabaddi,Athletics",Maharashtra & Pan-India,"Mahindra United FC; Mahindra World City sports programs; Project Nanhi Kali (girl sports)",7,7,Warm,"Highlight gender-equity angle in grassroots women's sport data","Strong brand purpose alignment; Rise philosophy fits underdog athlete stories",https://www.mahindra.com/csr
Bajaj Group,Financial Services & Auto,78000,195,4,General Sports,Maharashtra & Pan-India,"Bajaj Alliance community fitness programs; limited sport-specific CSR",4,5,Cold,"Cold outreach via impact report showing grassroots sport ROI in brand visibility","Conservative CSR approach; needs education on sport as social investment",https://www.bajajfinserv.in/csr
HDFC Group,Banking & Financial Services,195000,520,6,"Cricket,Athletics",Pan-India,"HDFC Bank Parivartan sports grants; community marathon sponsorships",5,6,Warm,"Pitch data-driven rural athlete banking/scholarship integration","Large CSR budget with room for sport expansion; rural financial inclusion angle",https://www.hdfcbank.com/csr
ICICI Group,Banking & Financial Services,172000,440,3,General Sports,Pan-India,"ICICI Foundation skill development includes some sport components; marathon sponsorships",4,5,Cold,"Propose sport-as-livelihood angle linking athlete development to employment outcomes","Primarily skill/livelihood focus; sport needs reframing as career development",https://www.icicifoundation.org
Hindustan Unilever,FMCG,60000,210,2,General Sports,Pan-India,"HUL community programs with minor sport components; Lifebuoy health campaigns",3,4,Cold,"Long-term play; connect hygiene/nutrition brand messaging with athlete health programs","FMCG reach into rural India is unmatched; could co-brand athlete nutrition initiatives",https://www.hul.co.in/planet-and-society
ITC Limited,FMCG & Hotels,73000,430,5,"Cricket,Athletics",Pan-India,"ITC community sports days; Aashirvaad cricket tournaments; hotel-based sport facilities",5,5,Cold,"Propose branded grassroots tournament series (Aashirvaad Atta Champions League-style)","Large CSR budget; Sunfeast brand already in marathon space; expand to grassroots",https://www.itcportal.com/sustainability
Vedanta Resources,Mining & Metals,145000,380,15,"Football,Hockey,Athletics",Rajasthan & Odisha & Jharkhand,"Vedanta Sports Foundation; Rajasthan football academies; Hockey programs in Odisha; Sesa Football Academy Goa",8,8,Hot,"Direct partnership for mining-belt grassroots talent identification","Operates in talent-rich but infrastructure-poor regions; strong sport commitment",https://www.vedantalimited.com/sustainability
Coal India,Mining,137000,680,7,"Football,Athletics,Boxing",Jharkhand & West Bengal & Odisha,"Coal India sports sponsorships; colliery sports meets; athlete employment schemes",7,7,Warm,"Position as modernization partner for existing colliery sports programs","Government PSU with large budget; tribal area presence aligns with undiscovered talent",https://www.coalindia.in/csr
ONGC,Oil & Gas,610000,680,10,"Wrestling,Boxing,Weightlifting,Athletics",Pan-India,"ONGC Olympic sports sponsorships; employment of 50+ national athletes; ONGC wrestling team",8,7,Hot,"Propose AthletIQ as scouting tool for ONGC athlete employment program","Long history of athlete employment; actively scouts talent; needs systematic pipeline",https://www.ongcindia.com/csr
SBI,Banking,480000,750,5,"Hockey,Athletics",Pan-India,"SBI Youth for India sports fellowships; SBI hockey sponsorship; community fitness programs",6,6,Warm,"Pitch financial literacy + sport scholarship combo program for rural athletes","Largest bank; massive rural branch network ideal for athlete identification",https://www.sbi.co.in/web/csr
L&T,Engineering & Construction,225000,480,4,General Sports,Pan-India,"L&T construction worker sports meets; limited structured sport CSR",4,5,Cold,"Propose infrastructure-development angle: building rural sports facilities with data-driven placement","Engineering expertise could extend to sport infrastructure; needs reframing",https://www.larsentoubro.com/corporate/corporate-sustainability
Godrej Group,Conglomerate,52000,135,6,"Football,Athletics",Maharashtra & Pan-India,"Godrej community sports programs in Mumbai; Godrej Memorial football tournament",5,6,Warm,"Engage through Mumbai-based pilot program for urban grassroots sport mapping","Progressive brand; strong Vikhroli community programs; good pilot partner",https://www.godrej.com/sustainability
Aditya Birla Group,Conglomerate,295000,780,8,"Athletics,Football,Volleyball",MP & Rajasthan & Pan-India,"Aditya Birla Foundation sports programs in factory towns; rural sports development in Rajasthan",7,7,Warm,"Partner for Tier3/Rural talent scouting in Rajasthan and MP plant locations","Deep presence in semi-urban India; Grasim/UltraTech plant towns are talent hubs",https://www.adityabirla.com/csr
Hero MotoCorp,Automotive,39000,110,10,"Hockey,Football,Cycling",Haryana & Pan-India,"Hero Indian Super League sponsorship; Hockey India partner; cycling promotion programs",7,7,Warm,"Propose grassroots cycling talent pipeline leveraging Hero brand + AthletIQ data","Natural sport-brand fit; cycling/hockey are CWG medal sports; Haryana HQ = wrestling belt",https://www.heromotocorp.com/en-in/csr
TVS Motor,Automotive,35000,85,3,General Sports,Tamil Nadu & Pan-India,"TVS community programs; limited sport-specific CSR; Srinivasan family trust education focus",4,5,Cold,"South India grassroots pilot; leverage Tamil Nadu athletics and chess talent data","Strong Tamil Nadu base; could fund state-specific grassroots sport intelligence",https://www.tvsmotor.com/csr
GCMMF (Amul),Dairy & FMCG,72000,48,8,"Athletics,Wrestling,Kabaddi",Gujarat & Pan-India,"Amul Doodh Peeta Hai India campaign; athlete sponsorships; school nutrition + sport programs",7,7,Warm,"Athlete nutrition partnership; branded rural sports events with AthletIQ tracking","Iconic brand; cooperative model aligns with grassroots ethos; nutrition angle is natural",https://www.amul.com/m/about-us
NTPC,Power Generation,183000,510,6,"Athletics,Football",UP & MP & Pan-India,"NTPC sports clubs; power plant town sports infrastructure; athlete employment",6,6,Warm,"Plant-town sports mapping; identify talent near NTPC facilities for employment pipeline","Major employer in Tier2/3 cities; sports infrastructure in plant towns underutilized",https://www.ntpc.co.in/csr
Power Grid Corporation,Power Transmission,46000,230,5,General Sports,Pan-India,"Power Grid community development with sport components; limited structured programs",4,5,Cold,"Propose electrification-of-rural-sports-facilities angle with talent mapping overlay","Technical CSR focus; sport is new territory; needs creative positioning",https://www.powergrid.in/csr
Bharti Airtel,Telecom,152000,410,5,"Football,Athletics",Pan-India,"Airtel Delhi Half Marathon; limited grassroots sport beyond marathon sponsorship",5,6,Warm,"Digital connectivity angle; AthletIQ mobile platform for rural coaches and athletes","Massive rural network; could provide connectivity for digital sports tracking in villages",https://www.airtel.in/sustainability
Tech Mahindra,IT Services,53000,140,5,"Cricket,Football",Pan-India,"Tech Mahindra Foundation sports programs; SMART Academy sport components",5,6,Warm,"Tech partnership for AI-driven talent identification; co-development of AthletIQ platform features","Strong AI/ML capabilities; could be tech partner beyond CSR funding",https://www.techmahindra.com/csr
HCL Technologies,IT Services,109000,280,4,General Sports,UP & Pan-India,"HCL Foundation community programs; Shiv Nadar Foundation education (includes sport)",5,6,Warm,"Pitch as enterprise software for sport ecosystem; UP grassroots data offering","Noida HQ near UP sports belt; Shiv Nadar Foundation could be additional channel",https://www.hclfoundation.org
Cipla,Pharmaceuticals,25000,65,2,General Sports,Maharashtra & Pan-India,"Cipla Foundation health programs; minimal sport CSR; respiratory health campaigns",3,4,Cold,"Sport-as-health-intervention positioning; asthma management in young athletes angle","Pharma CSR focused on health; sport-health intersection needs creative bridging",https://www.ciplafoundation.org
Sun Pharma,Pharmaceuticals,47000,120,2,General Sports,Pan-India,"Sun Pharma CSR focused on healthcare; minimal sport engagement",3,4,Cold,"Sports medicine and injury prevention data partnership; athlete health monitoring","Healthcare focus could extend to sports medicine for grassroots athletes",https://www.sunpharma.com/csr
Asian Paints,Paints & Coatings,35000,90,3,General Sports,Pan-India,"Asian Paints community development; beautification of public spaces; limited sport programs",3,4,Cold,"Propose painting/branding of rural sports facilities as CSR + marketing initiative","Creative brand; could fund sport infrastructure beautification with data-driven site selection",https://www.asianpaints.com/about-us/csr
